## EIA,,,,
"## Table 8.4. Average Power Plant Operating Expenses for Major U.S. Investor-Owned Electric Utilities, 2003 through 2013 (Mills per Kilowatthour)",,,,
## Hydroelectric category consists of both conventional hydroelectric and pumped storage.,,,,
"## Gas Turbine and Small Scale category consists of gas turbine, internal combustion, photovoltaic, and wind plants.",,,,
## Notes: Expenses are average expenses weighted by net generation. A mill is a monetary cost and billing unit equal to 1/1000 of the U.S. dollar (equivalent to 1/10 of one cent).,,,,
## Total may not equal sum of components due to independent rounding.,,,,
"## Sources: Federal Energy Regulatory Commission, FERC Form 1, ""Annual Report of Major Electric Utilities, Licensees and Others via Ventyx Global Energy Velocity Suite.",,,,
,,,,
year,cost_type,plant_type,unit,value
2011,total,fossil_steam,mils_kwh,35.09
2012,total,fossil_steam,mils_kwh,37.2
2003,total,hydroelectric,mils_kwh,5.79
2004,total,hydroelectric,mils_kwh,6.6
2005,total,hydroelectric,mils_kwh,6.68
2006,total,hydroelectric,mils_kwh,6.46
2007,total,hydroelectric,mils_kwh,9.32
2008,total,hydroelectric,mils_kwh,9.67
2009,total,hydroelectric,mils_kwh,8.38
2010,total,hydroelectric,mils_kwh,9.15
2011,total,hydroelectric,mils_kwh,8.88
2012,total,hydroelectric,mils_kwh,11.34
2003,total,gas_turbine_other_small,mils_kwh,49.66
2004,total,gas_turbine_other_small,mils_kwh,51.59
2005,total,gas_turbine_other_small,mils_kwh,61.1
2006,total,gas_turbine_other_small,mils_kwh,59.56
2007,total,gas_turbine_other_small,mils_kwh,64.43
2008,total,gas_turbine_other_small,mils_kwh,70.72
2009,total,gas_turbine_other_small,mils_kwh,57.55
2010,total,gas_turbine_other_small,mils_kwh,48.74
2011,total,gas_turbine_other_small,mils_kwh,44.54
2012,total,gas_turbine_other_small,mils_kwh,35.67
