"Plant.Name"	"plant.id"	"plant_code"	"RPS.ID"	"ARB.ID"	"Unit"	"Start.Date"	"Retired.Unit"	"Retire.Date"	"CA.ISO.Resource.ID"	"CA.ISO.Generating.Unit.Name"	"Company.Owner.Name"	"City"	"County"	"State"
"Argus Cogen Plant"	"C0017"	10684	""	100011	"TG #9"	"5/1/1978"	FALSE	""	"SEARLS_7_ARGUS"	"SEARLES VALLEY MINERALS OPERATIONS, INC. (ARGUS)"	"Karnavati Holdings Inc"	"Trona"	"San Bernardino"	"CA"
"Rio Bravo Jasmin"	"C0018"	10768	"61451"	100892	"Unit 1"	"9/1/1989"	FALSE	""	"VESTAL_6_ULTRGN"	"RIO BRAVO JASMIN"	"Rio Bravo"	"Bakersfield"	"Kern"	"CA"
"TXI Riverside Cement Power House (Shutdown March 2008)"	"C0019"	50557	""	NA	"GEN1"	"12/1/1954"	TRUE	"3/31/2008"	"COLCEM_6_GEN 1"	""	"TXI Riverside Cement"	"Oro Grande"	"San Bernardino"	"CA"
"TXI Riverside Cement Power House (Shutdown March 2008)"	"C0019"	50557	""	NA	"GEN2"	"12/1/1954"	TRUE	"3/31/2008"	"COLCEM_6_GEN 2"	""	"TXI Riverside Cement"	"Oro Grande"	"San Bernardino"	"CA"
"Stockton CoGen (Retired 3/31/2012 - Repowered E0002)"	"C0021"	10640	""	100014	"GEN1"	"3/1/1988"	TRUE	"3/31/2012"	"STOKCG_1_UNIT 1"	""	"Air Products and Chemicals Inc"	"Stockton"	"San Joaquin"	"CA"
"Rio Bravo Poso"	"C0022"	10769	"61450"	100893	"1"	"9/1/1989"	FALSE	""	"ULTOGL_1_POSO"	""	"Rio Bravo"	"Bakersfield"	"Kern"	"CA"
"Intermountain Power Project (UT)"	"C0023"	6481	""	NA	"Unit 1"	"6/9/1986"	FALSE	""	""	""	"Los Angeles Department of Water & Power (LADWP)"	"Delta"	"Millard"	"UT"
"Intermountain Power Project (UT)"	"C0023"	6481	""	NA	"Unit 2"	"5/1/1987"	FALSE	""	""	""	"Los Angeles Department of Water & Power (LADWP)"	"Delta"	"Millard"	"UT"
"Mohave Generating Station (Nevada) - Retired December 2005"	"C0024"	2341	""	NA	"Unit 1"	"1/1/1971"	TRUE	"12/31/2005"	""	""	"Southern California Edison (SCE)"	"Laughlin"	"Clark"	"NV"
"Mohave Generating Station (Nevada) - Retired December 2005"	"C0024"	2341	""	NA	"Unit 2"	"1/1/1971"	TRUE	"12/31/2005"	""	""	"Southern California Edison (SCE)"	"Laughlin"	"Clark"	"NV"
"Big Valley Power LLC_(Retired June 30  2010)"	"E0003"	10288	""	NA	"BVP 1"	"7/1/1983"	TRUE	"6/30/2010"	"MCARTH_6_BIGVAL"	""	"Big Valley Power LLC"	"Bieber"	"Lassen"	"CA"
"SPI - Lincoln"	"E0004"	10144	"60088"	101680	"GEN 2"	"6/1/1997"	TRUE	"5/28/2004"	"SPI LI_2_UNIT 1"	"Lincoln Biomass"	"Sierra Pacific Industries Inc"	"Lincoln"	"Placer"	"CA"
"SPI - Lincoln"	"E0004"	10144	"60088"	101680	"GEN 3"	"2/1/1999"	TRUE	"5/28/2004"	"SPI LI_2_UNIT 1"	"Lincoln Biomass"	"Sierra Pacific Industries Inc"	"Lincoln"	"Placer"	"CA"
"SPI - Lincoln"	"E0004"	10144	"60088"	101680	"GEN 4"	"3/12/2004"	FALSE	""	"SPI LI_2_UNIT 1"	"Lincoln Biomass"	"Sierra Pacific Industries Inc"	"Lincoln"	"Placer"	"CA"
"Burney Forest Products"	"E0005"	10652	"60073"	100018	"1"	"10/1/1989"	FALSE	""	"BURNYF_2_UNIT 1"	"BURNEY FOREST PRODUCTS"	"Burney Forest Power"	"Burney"	"Shasta"	"CA"
"Burney Mountain Power"	"E0006"	54219	""	NA	"GEN 1"	"1/1/1985"	TRUE	"10/31/2010"	"MTNPWR_7_BURNEY"	""	"Burney Mountain Power"	"Burney"	"Shasta"	"CA"
"El Nido Biomass"	"E0007"	56707	"60473A"	101665	"Unit 1"	"8/15/2008"	FALSE	""	"ELNIDP_6_BIOMAS"	"El Nido Biomass to Energy"	"Global Ampersand LLC"	"El Nido"	"Merced"	"CA"
"Chowchilla II Biomass"	"E0018"	56706	"60471"	101666	"Unit 1"	"5/15/2008"	FALSE	""	"CHWCHL_1_BIOMAS"	"Chow II Biomass to Energy"	"Global Ampersand LLC"	"Chowchilla"	"Madera"	"CA"
"Plant No 2"	"E0025"	52099	"60294E"	101280	"GEN 1"	"6/1/1993"	FALSE	""	"ELLIS_2_QF"	"ELLIS AREA LUMPED UNITS"	"Orange County Sanitation District"	"Huntington Beach"	"Orange"	"CA"
"Plant No 2"	"E0025"	52099	"60294E"	101280	"GEN 2"	"6/1/1993"	FALSE	""	"ELLIS_2_QF"	"ELLIS AREA LUMPED UNITS"	"Orange County Sanitation District"	"Huntington Beach"	"Orange"	"CA"
"Plant No 2"	"E0025"	52099	"60294E"	101280	"GEN 3"	"6/1/1993"	FALSE	""	"ELLIS_2_QF"	"ELLIS AREA LUMPED UNITS"	"Orange County Sanitation District"	"Huntington Beach"	"Orange"	"CA"
"Plant No 2"	"E0025"	52099	"60294E"	101280	"GEN 4"	"6/1/1993"	FALSE	""	"ELLIS_2_QF"	"ELLIS AREA LUMPED UNITS"	"Orange County Sanitation District"	"Huntington Beach"	"Orange"	"CA"
"Plant No 2"	"E0025"	52099	"60294E"	101280	"GEN 5"	"6/1/1993"	FALSE	""	"ELLIS_2_QF"	"ELLIS AREA LUMPED UNITS"	"Orange County Sanitation District"	"Huntington Beach"	"Orange"	"CA"
"Plant No 2"	"E0025"	52099	"60294E"	101280	"GEN 6"	"6/1/1993"	FALSE	""	"ELLIS_2_QF"	"ELLIS AREA LUMPED UNITS"	"Orange County Sanitation District"	"Huntington Beach"	"Orange"	"CA"
"Collins Pine Co Project"	"E0026"	10661	"60074"	101250	"GEN4"	"12/1/1985"	FALSE	""	"COLPIN_6_COLLNS"	"COLLINS PINE CO."	"Collins Pine Co"	"Chester"	"Plumas"	"CA"
"Desert View Power (Mecca Plant)"	"E0027"	10300	"60692"	NA	"GEN1"	"11/1/1991"	FALSE	""	"MIRAGE_2_COCHLA"	""	"Desert View Power (formerly Colmac Energy Inc)"	"Mecca"	"Riverside"	"CA"
"Covanta Delano  Inc"	"E0029"	10840	""	100933	"Delano 1"	"12/1/1989"	FALSE	""	"PANDOL_6_UNIT 1"	"Covanta Delano, Inc. Unit 1"	"Covanta Delano/Mendota"	"Delano"	"Kern"	"CA"
"Covanta Delano  Inc"	"E0029"	10840	""	100933	"Delano 2"	"2/1/1994"	FALSE	""	"PANDOL_6_UNIT 2"	"Covanta Delano, Inc. Unit 2"	"Covanta Delano/Mendota"	"Delano"	"Kern"	"CA"
"Diamond Walnut - Retired December 2005"	"E0032"	10257	""	NA	"DWG 1"	"4/1/1981"	TRUE	"11/11/2005"	""	""	"Diamond Walnut Growers Inc"	"Stockton"	"San Joaquin"	"CA"
"Dinuba Energy"	"E0033"	57827	"60272"	100025	"1"	"7/1/2003"	FALSE	""	"DINUBA_6_UNIT"	"Dinuba Energy, Inc."	"Community Renewable Energy Services Inc"	"Reedley"	"Tulare"	"CA"
"Dinuba Energy"	"E0033"	57827	""	100025	"DSPV"	"11/1/2011"	FALSE	""	""	""	"Community Renewable Energy Services Inc"	"Reedley"	"Tulare"	"CA"
"EBMUD Wastewater Treatment Plant Power Generation Station"	"E0036"	56036	""	NA	"GEN 1"	"8/1/1985"	FALSE	""	"OAK L_7_EBMUD"	""	"East Bay Municipal Utility District (EBMUD)"	"Oakland"	"Alameda"	"CA"
"EBMUD Wastewater Treatment Plant Power Generation Station"	"E0036"	56036	""	NA	"GEN 2"	"8/1/1985"	FALSE	""	"OAK L_7_EBMUD"	""	"East Bay Municipal Utility District (EBMUD)"	"Oakland"	"Alameda"	"CA"
"EBMUD Wastewater Treatment Plant Power Generation Station"	"E0036"	56036	""	NA	"GEN 3"	"8/1/1985"	FALSE	""	"OAK L_7_EBMUD"	""	"East Bay Municipal Utility District (EBMUD)"	"Oakland"	"Alameda"	"CA"
"DG Fairhaven Power Plant"	"E0037"	10052	"60076"	100026	"GEN 1"	"9/15/1986"	FALSE	""	"FAIRHV_6_UNIT"	"FAIRHAVEN POWER CO."	"Marubeni Sustainable Energy Inc"	"Samoa"	"Humboldt"	"CA"
"SPI - Sonora - Restarted 1/1/2012 (Shut Down 9/28/2009)"	"E0038"	54517	"60576"	101682	"1"	"2/1/2001"	TRUE	"9/28/2009"	"SPIFBD_1_PL1X2"	"Sonora"	"Sierra Pacific Industries Inc"	"Sonora"	"Tuolumne"	"CA"
"SPI - Sonora - Restarted 1/1/2012 (Shut Down 9/28/2009)"	"E0038"	54517	"60576"	101682	"GEN1"	"1/1/2012"	FALSE	""	"SPIFBD_1_PL1X2"	"Sonora"	"Sierra Pacific Industries Inc"	"Sonora"	"Tuolumne"	"CA"
"Fort Bragg Western Wood Products - Retired December 2001"	"E0039"	10607	""	NA	"GEN1"	"1/1/1980"	TRUE	"12/31/2001"	""	""	"Georgia Pacific Corp"	"Fort Bragg"	"Mendocino"	"CA"
"HL Power Company (Honey Lake)"	"E0041"	10777	"60077"	100029	"GEN 1"	"7/26/1989"	FALSE	""	"HONEYL_6_UNIT"	""	"HL Power Co"	"Wendel"	"Lassen"	"CA"
"Mesquite Lake Resource Recovery Project - Retired Dec 2008"	"E0042"	50363	""	NA	"1"	"1/1/1988"	TRUE	"12/31/2008"	""	""	"Chateau Energy Inc"	"Imperial"	"Imperial"	"CA"
"Mesquite Lake Resource Recovery Project - Retired Dec 2008"	"E0042"	50363	"60574"	NA	"L313"	"1/1/1988"	TRUE	"12/31/2008"	""	""	"Chateau Energy Inc"	"Imperial"	"Imperial"	"CA"
"J R Wood Incorporated - Retired December 2004"	"E0043"	10780	""	NA	"GEN1"	"1/1/1992"	TRUE	"12/31/2004"	""	""	"Dole Packaged Frozen Foods"	"Atwater"	"Merced"	"CA"
"Samoa Pulp Mill (Closed) - Retired December 2008"	"E0048"	10074	""	NA	"GEN1"	"5/1/1965"	TRUE	"12/31/2008"	"LAPAC_6_UNIT"	"Freshwater Tissue Company"	"Evergreen Pulp Incorporated"	"Samoa"	"Humboldt"	"CA"
"Madera Power (offline 3/28/2012 - repowered 2013)"	"E0050"	NA	"60273"	101278	"1"	"6/1/2001"	FALSE	""	"CAPMAD_1_UNIT 1"	""	"Madera Power LLC"	"Firebaugh"	"Madera"	"CA"
"Wheelabrator Martell Inc - Retired December 2003"	"E0051"	50950	""	NA	"Unit 1"	"3/1/1986"	TRUE	"12/1/2003"	""	""	"Wheelabrator Martell Inc"	"Sutter Creek"	"Amador"	"CA"
"Covanta Mendota LP"	"E0052"	10837	"60078E"	100035	"1"	"7/1/1989"	FALSE	""	"MENBIO_6_UNIT"	"MENDOTA BIOMASS POWER"	"Covanta Delano/Mendota"	"Mendota"	"Fresno"	"CA"
"Covanta Mendota LP"	"E0052"	10837	""	100035	"Main"	"11/1/1989"	FALSE	""	"MENBIO_6_UNIT"	"MENDOTA BIOMASS POWER"	"Covanta Delano/Mendota"	"Mendota"	"Fresno"	"CA"
"MM San Diego LLC - Miramar Landfill"	"E0054"	55094	""	100036	"UNT1-4"	"7/1/1997"	FALSE	""	"MSHGTS_6_MMARLF"	"MIRAMAR LANDFILL"	"Fortistar Methane Group"	"San Diego"	"San Diego"	"CA"
"Monterey Regional Water Pollution Control Cogen"	"E0055"	54951	""	NA	"2"	"1/1/1991"	FALSE	""	"CSTRVL_7_MRWMD"	""	"MRWPCA"	"Marina"	"Monterey"	"CA"
"Monterey Regional Water Pollution Control Cogen"	"E0055"	54951	""	NA	"3"	"1/1/1991"	FALSE	""	"CSTRVL_7_MRWMD"	""	"MRWPCA"	"Marina"	"Monterey"	"CA"
"Monterey Regional Water Pollution Control Cogen"	"E0055"	54951	""	NA	"Unit 1"	"1/1/1991"	FALSE	""	"CSTRVL_7_MRWMD"	""	"MRWPCA"	"Marina"	"Monterey"	"CA"
"Mount  Lassen Power (Retired 2011)"	"E0056"	54468	""	100038	"GEN 1"	"6/1/1985"	TRUE	"10/21/2011"	"MTNLAS_6_UNIT"	""	"Mt Lassen Power"	"Westwood"	"Lassen"	"CA"
"Otay 1 & 2 Power Station"	"E0061"	52204	"60433A"	100106	"1"	"12/1/1986"	FALSE	""	"OTAY_6_LNDFL5"	"Otay 5"	"Otay Landfill Gas LLC"	"Chula Vista"	"San Diego"	"CA"
"Otay 1 & 2 Power Station"	"E0061"	52204	"60434A"	100106	"2"	"12/1/1986"	FALSE	""	"OTAY_6_LNDFL6"	"Otay 6"	"Otay Landfill Gas LLC"	"Chula Vista"	"San Diego"	"CA"
"Scotia"	"E0063"	50049	"60083"	100040	"#3"	"1/1/1938"	FALSE	""	"PACLUM_6_UNIT"	"PACIFIC LUMBER CO."	"Eel River Power LLC"	"Scotia"	"Humboldt"	"CA"
"Scotia"	"E0063"	50049	"60083"	100040	"Gen A"	"3/1/1988"	FALSE	""	"PACLUM_6_UNIT"	"PACIFIC LUMBER CO."	"Eel River Power LLC"	"Scotia"	"Humboldt"	"CA"
"Scotia"	"E0063"	50049	"60083"	100040	"Gen B"	"1/1/1989"	FALSE	""	"PACLUM_6_UNIT"	"PACIFIC LUMBER CO."	"Eel River Power LLC"	"Scotia"	"Humboldt"	"CA"
"Pacific Oroville Power Inc"	"E0064"	54469	"60082"	100041	"GEN 1"	"12/1/1985"	TRUE	"10/20/2012"	"PACORO_6_UNIT"	""	"Pacific Oroville Power Inc"	"Oroville"	"Butte"	"CA"
"Pacific Oroville Power Inc"	"E0064"	54469	"60082"	100041	"GEN 2"	"12/1/1985"	TRUE	"10/20/2012"	"PACORO_6_UNIT"	""	"Pacific Oroville Power Inc"	"Oroville"	"Butte"	"CA"
"Ameresco Vasco Road LLC"	"E0071"	58435	""	NA	"Unit 1"	"2/22/2014"	FALSE	""	"CAYTNO_2_VASCO"	"Vasco Road"	"Ameresco Inc"	"Livermore"	"Alameda"	"CA"
"Ameresco Vasco Road LLC"	"E0071"	58435	""	NA	"Unit 2"	"2/22/2014"	FALSE	""	"CAYTNO_2_VASCO"	"Vasco Road"	"Ameresco Inc"	"Livermore"	"Alameda"	"CA"
"San Marcos"	"E0075"	10386	"60435A"	101157	"Unit 1"	"12/1/1985"	FALSE	""	"SMRCOS_6_LNDFIL"	"San Marcos Energy"	"Gas Recovery Systems Inc"	"San Marcos"	"San Diego"	"CA"
"San Marcos"	"E0075"	10386	"60435A"	101157	"Unit 2"	"12/1/1985"	FALSE	""	"SMRCOS_6_LNDFIL"	"San Marcos Energy"	"Gas Recovery Systems Inc"	"San Marcos"	"San Diego"	"CA"
"SPI - Burney"	"E0078"	50110	"60087A"	100043	"GEN 1"	"10/1/1986"	FALSE	""	"SPBURN_2_UNIT 1"	"Burney Biomass"	"Sierra Pacific Industries Inc"	"Burney"	"Shasta"	"CA"
"SPI - Quincy"	"E0081"	50112	"60089A"	101378	"GEN 1"	"12/1/1986"	FALSE	""	"SPQUIN_6_SRPCQU"	"Quincy Biomass"	"Sierra Pacific Industries Inc"	"Quincy"	"Plumas"	"CA"
"SPI - Quincy"	"E0081"	50112	"60089A"	101378	"GEN 2"	"4/1/1999"	FALSE	""	"SPQUIN_6_SRPCQU"	"Quincy Biomass"	"Sierra Pacific Industries Inc"	"Quincy"	"Plumas"	"CA"
"SPI - Susanville - Shut Down 2004"	"E0082"	50113	""	NA	"GEN 1"	"11/1/1985"	TRUE	"12/31/2004"	"SPSUSN_6_UNIT"	""	"Sierra Pacific Industries Inc"	"Susanville"	"Lassen"	"CA"
"SPI - Susanville - Shut Down 2004"	"E0082"	50113	""	NA	"GEN 2"	"11/1/1985"	TRUE	"12/31/2004"	"SPSUSN_6_UNIT"	""	"Sierra Pacific Industries Inc"	"Susanville"	"Lassen"	"CA"
"SPI - Loyalton - Shut Down 08/20/2010"	"E0084"	50111	""	NA	"GEN 1"	"9/1/1989"	TRUE	"8/20/2010"	""	""	"Sierra Pacific Industries Inc"	"Loyalton"	"Sierra"	"CA"
"Wheelabrator Shasta"	"E0086"	50881	""	104454	"Unit 4"	"1/1/1987"	FALSE	""	"WSENGY_1_UNIT 1"	"WHEELABRATOR SHASTA"	"Wheelabrator Technologies Inc"	"Anderson"	"Shasta"	"CA"
"Wheelabrator Shasta"	"E0086"	50881	""	104454	"Units 1-3"	"1/1/1987"	FALSE	""	"WSENGY_1_UNIT 1"	"WHEELABRATOR SHASTA"	"Wheelabrator Technologies Inc"	"Anderson"	"Shasta"	"CA"
"Wheelabrator Shasta"	"E0086"	50881	""	104454	"Units 1-4"	"1/1/1987"	FALSE	""	"WSENGY_1_UNIT 1"	"WHEELABRATOR SHASTA"	"Wheelabrator Technologies Inc"	"Anderson"	"Shasta"	"CA"
"Humboldt Pulp Mill - Retired Dec 2003"	"E0088"	50301	""	NA	"GEN1"	"1/1/1966"	TRUE	"12/31/2003"	""	""	"Simpson Paper Co"	"Eureka"	"Humboldt"	"CA"
"Soledad Energy - Retired Jan 2006"	"E0089"	NA	""	NA	"BBC 13.4"	"7/15/2000"	TRUE	"1/31/2006"	""	""	"Soledad Energy LLC"	"Soledad"	"Monterey"	"CA"
"Sycamore Landfill San Diego"	"E0094"	10387	""	101684	"Unit 1"	"5/13/2011"	FALSE	""	"CHILLS_1_SYCENG"	"Sycamore Energy 1"	"Gas Recovery Systems Inc"	"Santee"	"San Diego"	"CA"
"Sycamore Landfill San Diego"	"E0094"	10387	""	101684	"Unit 1old"	"12/1/1985"	TRUE	"5/12/2011"	"CHILLS_1_SYCENG"	"Sycamore Energy 1"	"Gas Recovery Systems Inc"	"Santee"	"San Diego"	"CA"
"Sycamore Landfill San Diego"	"E0094"	10387	""	101684	"Unit 2"	"5/13/2011"	FALSE	""	"CHILLS_1_SYCENG"	"Sycamore Energy 1"	"Gas Recovery Systems Inc"	"Santee"	"San Diego"	"CA"
"Sycamore Landfill San Diego"	"E0094"	10387	""	101684	"Unit 2old"	"12/1/1985"	TRUE	"5/12/2011"	"CHILLS_1_SYCENG"	"Sycamore Energy 1"	"Gas Recovery Systems Inc"	"Santee"	"San Diego"	"CA"
"Sycamore Landfill San Diego"	"E0094"	10387	""	101684	"Unit 3"	"3/1/2004"	FALSE	""	"CHILLS_7_UNITA1"	"SYCAMORE CANYON LANDFILL PLANT B"	"Gas Recovery Systems Inc"	"Santee"	"San Diego"	"CA"
"MM Tajiguas Energy LLC"	"E0095"	55603	"60298A"	100051	"Unit 1"	"8/1/2000"	FALSE	""	"GOLETA_6_TAJIGS"	"Tajiguas - Unit #1"	"Fortistar Methane Group"	"Gaviota"	"Santa Barbara"	"CA"
"Tracy Biomass Plant"	"E0096"	10502	""	100052	"GEN 1"	"4/26/1990"	FALSE	""	"THMENG_1_UNIT 1"	"Tracy Biomass"	"Thermal Energy Dev Partner LP"	"Tracy"	"San Joaquin"	"CA"
"Blue Lake"	"E0097"	10764	"60690"	100053	"GEN1"	"7/1/1985"	TRUE	"12/31/2001"	"BLULKE_6_BLUELK"	"Blue lake Power"	"Blue Lake Power LLC"	"Blue Lake"	"Humboldt"	"CA"
"Blue Lake"	"E0097"	10764	"60690"	100053	"GEN1-Repower"	"4/30/2010"	FALSE	""	"BLULKE_6_BLUELK"	"Blue lake Power"	"Blue Lake Power LLC"	"Blue Lake"	"Humboldt"	"CA"
"Rio Bravo Fresno"	"E0098"	10767	"60084A"	100265	"Unit 1"	"7/1/1988"	FALSE	""	"ULTPFR_1_UNIT 1"	"RIO BRAVO FRESNO (aka ULTRAPOWER)"	"Rio Bravo"	"Fresno"	"Fresno"	"CA"
"Rio Bravo Rocklin"	"E0099"	10772	"60085"	100055	"Unit 1"	"6/1/1989"	FALSE	""	"ULTRCK_2_UNIT"	"RIO BRAVO ROCKLIN"	"Rio Bravo"	"Lincoln"	"Placer"	"CA"
"Pacific Ultrapower Chinese"	"E0100"	50560	"60080E"	101298	"1"	"6/1/1985"	FALSE	""	"ULTPCH_1_UNIT 1"	"OGDEN POWER PACIFIC, INC. (CHINESE STATION)"	"IHI Power Services Corp"	"Jamestown"	"Tuolumne"	"CA"
"MM Tulare Energy LLC"	"E0101"	55160	"60479A"	100057	"Gen 1-2"	"5/1/1998"	FALSE	""	"RECTOR_7_TULARE"	"MM TULARE ENERGY, LLC"	"Fortistar Methane Group"	"Visalia"	"Tulare"	"CA"
"Wadham"	"E0102"	50293	"60092A"	100058	"UNIT 1"	"5/1/1990"	FALSE	""	"WADHAM_6_UNIT"	"Wadham Energy LP"	"Wadham Energy LP"	"Williams"	"Colusa"	"CA"
"Woodland Biomass Power Ltd"	"E0105"	10836	"60095A"	101493	"Unit 1"	"9/1/1989"	FALSE	""	"BIOMAS_1_UNIT 1"	"WOODLAND BIOMASS"	"DTE Energy Services"	"Woodland"	"Yolo"	"CA"
"Altamont Gas Recovery"	"E0106"	50571	""	100060	"1"	"3/1/1989"	FALSE	""	""	""	"Bio Energy Partners/WM Renewable Energy"	"Livermore"	"Alameda"	"CA"
"Altamont Gas Recovery"	"E0106"	50571	""	100060	"2"	"3/1/1989"	FALSE	""	""	""	"Bio Energy Partners/WM Renewable Energy"	"Livermore"	"Alameda"	"CA"
"Altamont Gas Recovery"	"E0106"	50571	""	100060	"3"	"6/30/2004"	FALSE	""	""	""	"Bio Energy Partners/WM Renewable Energy"	"Livermore"	"Alameda"	"CA"
"Altamont Gas Recovery"	"E0106"	50571	""	100060	"4"	"6/30/2004"	FALSE	""	""	""	"Bio Energy Partners/WM Renewable Energy"	"Livermore"	"Alameda"	"CA"
"Brea Power Partners LP"	"E0109"	10648	""	NA	"Gen 1-3"	"12/1/1985"	FALSE	""	"OLINDA_7_LNDFIL"	"Olinda Landfill"	"Ridgewood Power Management LLC"	"Brea"	"Orange"	"CA"
"Southeast Digester Gas Cogen Plant"	"E0110"	57971	""	NA	"1"	"7/1/2002"	FALSE	""	""	""	"SF Public Utilities Commisson"	"San Francisco"	"San Francisco"	"CA"
"Southeast Resource Recovery"	"E0112"	50837	""	100063	"1"	"7/9/1987"	FALSE	""	"HINSON_6_SERRGN"	"CITY OF LONG BEACH"	"SERRF Joint Powers Authority"	"Long Beach"	"Los Angeles"	"CA"
"Commerce Refuse To Energy"	"E0113"	10090	""	100064	"1"	"11/1/1986"	FALSE	""	"LAGBEL_6_QF"	"LAGUNA BELLE AREA LUMPED UNITS"	"County Sanitation Districts of Los Angeles County"	"Commerce"	"Los Angeles"	"CA"
"Coyote Canyon"	"E0117"	10395	"60485A"	101037	"Unit 1"	"4/1/1989"	FALSE	""	"SANTGO_6_COYOTE"	"Coyote Canyon"	"Fortistar Methane Group"	"Irvine"	"Orange"	"CA"
"American Canyon Power Plant (Retired 2013)"	"E0118"	10392	"60102A"	101712	"Unit 1"	"12/1/1985"	TRUE	"10/24/2013"	"HIWAY_7_ACANYN"	"GAS RECOVERY SYS. (AMERICAN CYN)"	"Fortistar Methane Group"	"American Canyon"	"Napa"	"CA"
"American Canyon Power Plant (Retired 2013)"	"E0118"	10392	"60102A"	101712	"Unit 2"	"12/1/1985"	TRUE	"10/24/2013"	"HIWAY_7_ACANYN"	"GAS RECOVERY SYS. (AMERICAN CYN)"	"Fortistar Methane Group"	"American Canyon"	"Napa"	"CA"
"Guadalupe Power Plant (Retired 2013)"	"E0120"	10390	"60103A"	101713	"Unit 1"	"4/1/1984"	TRUE	"12/6/2013"	"HICKS_7_GUADLP"	""	"Fortistar Methane Group"	"San Jose"	"Santa Clara"	"CA"
"Guadalupe Power Plant (Retired 2013)"	"E0120"	10390	"60103A"	101713	"Unit 2"	"4/1/1984"	TRUE	"12/6/2013"	"HICKS_7_GUADLP"	""	"Fortistar Methane Group"	"San Jose"	"Santa Clara"	"CA"
